"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"115","Amphidinium-:-Kitaya et al. (2008)-:-NA-:-NA","Amphidinium","Kitaya et al. (2008)",0.44,24,299.15,0.28,0.954964202124984,1.90992840424997
"116","Amphidinium-:-Kitaya et al. (2008)-:-NA-:-NA","Amphidinium","Kitaya et al. (2008)",0.52,26,299.15,0.28,0.954964202124984,1.90992840424997
"117","Amphidinium-:-Kitaya et al. (2008)-:-NA-:-NA","Amphidinium","Kitaya et al. (2008)",0.5,29,299.15,0.28,0.954964202124984,1.90992840424997
"118","Amphidinium-:-Kitaya et al. (2008)-:-NA-:-NA","Amphidinium","Kitaya et al. (2008)",0.38,32,299.15,0.28,0.954964202124984,1.90992840424997
"119","Amphidinium-:-Kitaya et al. (2008)-:-NA-:-NA","Amphidinium","Kitaya et al. (2008)",0.28,35,299.15,0.28,0.954964202124984,1.90992840424997
"120","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0,16,300.15,0.06,1.59651061506844,3.19302123013687
"121","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.06,19,300.15,0.06,1.59651061506844,3.19302123013687
"122","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.14,21,300.15,0.06,1.59651061506844,3.19302123013687
"123","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.21,23,300.15,0.06,1.59651061506844,3.19302123013687
"124","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.25,25,300.15,0.06,1.59651061506844,3.19302123013687
"125","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.37,27,300.15,0.06,1.59651061506844,3.19302123013687
"126","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.34,29,300.15,0.06,1.59651061506844,3.19302123013687
"127","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.24,31,300.15,0.06,1.59651061506844,3.19302123013687
"128","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.19,33,300.15,0.06,1.59651061506844,3.19302123013687
"129","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0.07,35,300.15,0.06,1.59651061506844,3.19302123013687
"130","Amphidinium klebsii-:-Morton et al. (1992)-:- 24.708-:- -81.125","Amphidinium klebsii","Morton et al. (1992)",0,37,300.15,0.06,1.59651061506844,3.19302123013687
"131","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0,11,301.15,0.138629,0.903332427445214,1.80666485489043
"132","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.14,14,301.15,0.138629,0.903332427445214,1.80666485489043
"133","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.35,17,301.15,0.138629,0.903332427445214,1.80666485489043
"134","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.42,21,301.15,0.138629,0.903332427445214,1.80666485489043
"135","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.9,28,301.15,0.138629,0.903332427445214,1.80666485489043
"136","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.69,31,301.15,0.138629,0.903332427445214,1.80666485489043
"137","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0,34,301.15,0.138629,0.903332427445214,1.80666485489043
"138","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.138629,14,301.15,0.138629,0.903332427445214,1.80666485489043
"139","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.346574,17,301.15,0.138629,0.903332427445214,1.80666485489043
"140","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.415888,21,301.15,0.138629,0.903332427445214,1.80666485489043
"141","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.901091,28,301.15,0.138629,0.903332427445214,1.80666485489043
"142","Amphiprora-:-Hulburt (1982)-:- 28.900-:-  50.750","Amphiprora","Hulburt (1982)",0.693147,31,301.15,0.138629,0.903332427445214,1.80666485489043
"143","Amphiprora paludosa-:-Admiraal (1977)-:-NA-:-NA","Amphiprora paludosa","Admiraal (1977)",0.28,4,298.15,0.28,0.634444883667007,1.26888976733401
"144","Amphiprora paludosa-:-Admiraal (1977)-:-NA-:-NA","Amphiprora paludosa","Admiraal (1977)",0.45,8,298.15,0.28,0.634444883667007,1.26888976733401
